SampleID,Group,species,site,month,age,group,bird_id,type,Recap,recap_delete,Recap_num,replicate,remove_replicate,weight,wing,hb,SourceSink,Env,Date,Plate,migration
8677,8677,Red-necked stint,Flinders,September,Second year,three,3686368,bird,No,No,,No,No,32,,,source,gut,20/09/2015,1,Flinders-stint-SY
8679,8679,Red-necked stint,Flinders,September,Second year,three,3690505,bird,Yes,Yes,1,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-SY
8680,8680,Red-necked stint,Flinders,September,Adult,three,3685834,bird,No,No,,No,No,29,,,source,gut,20/09/2015,1,Flinders-stint-adult
8682,8682,Red-necked stint,Flinders,September,Adult,three,3685691,bird,No,No,,No,No,30,,,source,gut,20/09/2015,1,Flinders-stint-adult
8683,8683,Red-necked stint,Flinders,September,Second year,three,3686383,bird,Yes,Yes,1,No,No,24,,,source,gut,20/09/2015,1,Flinders-stint-SY
8684,8684,Red-necked stint,Flinders,September,Second year,three,3686373,bird,No,No,,No,No,26,,,source,gut,20/09/2015,1,Flinders-stint-SY
8685,8685,Red-necked stint,Flinders,September,Adult,three,3657736,bird,Yes,Yes,1,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-adult
8686,8686,Red-necked stint,Flinders,September,Second year,three,3686375,bird,No,No,,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-SY
8688,8688,Red-necked stint,Flinders,September,Second year,three,3686380,bird,No,No,,No,No,26,,,source,gut,20/09/2015,1,Flinders-stint-SY
8689,8689,Red-necked stint,Flinders,September,Second year,three,3686376,bird,Yes,Yes,1,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-SY
9164,9164,Curlew sandpiper,WTP,December,,,4273353,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9165,9165,Curlew sandpiper,WTP,December,,,4273617,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9166,9166,Curlew sandpiper,WTP,December,,,4273298,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9167,9167,Curlew sandpiper,WTP,December,,,4273299,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9168,9168,Curlew sandpiper,WTP,December,,,4244208,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9169,9169,Curlew sandpiper,WTP,December,,,4273342,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9170,9170,Curlew sandpiper,WTP,December,,,4277002,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9171,9171,Curlew sandpiper,WTP,December,,,4277003,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9172,9172,Curlew sandpiper,WTP,December,,,4273300,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9175,9175,Curlew sandpiper,WTP,December,,,4273630,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9176,9176,Curlew sandpiper,WTP,December,,,4277001,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9177,9177,Curlew sandpiper,WTP,December,,,4273370,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9178,9178,Curlew sandpiper,WTP,December,,,4273059,bird,No,No,,No,No,,,,,,29/12/2015,2,WTP-curlewsand
9180,9180,Red-necked stint,WTP,December,Unknown,,3692414,bird,No,No,,No,No,34,,,source,gut,29/12/2015,1,WTP-stint
9181,9181,Red-necked stint,WTP,December,Unknown,,3686484,bird,No,No,,No,No,33,,,source,gut,29/12/2015,1,WTP-stint
9185,9185,Red-necked stint,WTP,December,Unknown,,3675374,bird,No,No,,No,No,31,,,source,gut,29/12/2015,1,WTP-stint
9186,9186,Red-necked stint,WTP,December,Unknown,,3692336,bird,No,No,,No,No,30,,,source,gut,29/12/2015,1,WTP-stint
9187,9187,Red-necked stint,WTP,December,Unknown,,3692404,bird,No,No,,No,No,30,,,source,gut,29/12/2015,1,WTP-stint
9188,9188,Red-necked stint,WTP,December,Unknown,,3692334,bird,No,No,,No,No,32,,,source,gut,29/12/2015,1,WTP-stint
9191,9191,Red-necked stint,WTP,December,Unknown,,3692405,bird,No,No,,No,No,33,,,source,gut,29/12/2015,1,WTP-stint
9192,9192,Red-necked stint,WTP,December,Unknown,,3692411,bird,No,No,,Yes,No,31,,,source,gut,29/12/2015,1,WTP-stint
9192_2,9192,Red-necked stint,WTP,December,Juvenile,,3692411,bird,No,No,,Yes,Yes,31,,,source,gut,29/12/2015,1,WTP-stint
9193,9193,Red-necked stint,WTP,December,Unknown,,3689801,bird,No,No,,No,No,32,,,source,gut,29/12/2015,1,WTP-stint
9194,9194,Red-necked stint,WTP,December,Unknown,,3692407,bird,No,No,,No,No,32,,,source,gut,29/12/2015,1,WTP-stint
9196,9196,Red-necked stint,WTP,December,Unknown,,3688793,bird,No,No,,No,No,33,,,source,gut,29/12/2015,1,WTP-stint
9197,9197,Red-necked stint,WTP,December,Unknown,,3692412,bird,No,No,,No,No,31,,,source,gut,29/12/2015,1,WTP-stint
9200,9200,Red-necked stint,WTP,December,Juvenile,,3692403,bird,No,No,,No,No,27,,,source,gut,29/12/2015,1,WTP-stint
9201,9201,Red-necked stint,WTP,December,Juvenile,,3692362,bird,No,No,,No,No,27,,,source,gut,29/12/2015,1,WTP-stint
9202,9202,Red-necked stint,WTP,December,Juvenile,,3692352,bird,No,No,,No,No,35,,,source,gut,29/12/2015,1,WTP-stint
